title,pubDate,description,link
Jinping under pressure for strong SC Sea response,"Mon, 01 Aug 2016 04:41:32 GMT",Some elements within China's military are pushing for a stronger - potentially armed - response aimed at United States and its regional allies.,http://economictimes.indiatimes.com/news/defence/give-them-a-bloody-nose-xi-jinping-pressed-for-stronger-south-china-sea-response/articleshow/53485252.cms
No government accommodation for former CMs: SC,"Mon, 01 Aug 2016 05:48:00 GMT",The apex court also directed six former chief ministers of Uttar Pradesh to vacate government houses allotted to them.,http://economictimes.indiatimes.com/news/politics-and-nation/no-government-accommodation-for-former-chief-ministers-supreme-court/articleshow/53486108.cms
Manufacturing PMI at 4 month high of 51.8 in July,"Mon, 01 Aug 2016 05:49:49 GMT","The seasonally adjusted Nikkei India Manufacturing Purchasing Managers Index edged higher in July, at 51.8 compared with 51.7 in June.",http://economictimes.indiatimes.com/news/economy/finance/manufacturing-pmi-at-4-month-high-of-51-8-in-july/articleshow/53486134.cms
"Scooter's back, with new hero on road","Sun, 12 Jun 2016 05:20:10 GMT",Slowing rural demand after two rain deficit years might be weighing down Splendor's sales but Honda says there is more to these results than El Nino.,http://economictimes.indiatimes.com/industry/auto/news/two-wheelers/scooters-mopeds/scooters-back-with-new-hero-on-road/articleshow/52711166.cms
"Alfa raises delisting price to Rs 2,850 a share","Tue, 10 Jan 2012 12:19:11 GMT","Alfa Laval (India) today said its parent firm has raised the delisting offer price to Rs 2,850 a share.
",http://economictimes.indiatimes.com/markets/stocks/news/alfa-laval-raises-delisting-price-to-rs-2850-a-share/articleshow/11437373.cms
"DB Realty, Unitech stocks rose","Tue, 29 Nov 2011 22:25:23 GMT",The stocks of DB Realty and Unitech rose after top executives of these companies were granted bail in the 2G scam case. ,http://economictimes.indiatimes.com/markets/stocks/news/db-realty-unitech-stocks-rose-after-top-executives-granted-bail-in-2g-scam/articleshow/10925114.cms
Fitch withdraws Reliance Capital ratings,"Thu, 20 Oct 2011 15:30:11 GMT",Fitch on Friday said it has withdrawn the ratings on Reliance Capital as the company has decided to stop participating.,http://economictimes.indiatimes.com/markets/stocks/news/fitch-withdraws-reliance-capital-ratings/articleshow/10430814.cms
'Discoms' poor fin health poses risks for traders',"Thu, 20 Oct 2011 14:32:51 GMT","The poor financial health of state electricity boards could pose significant business risks for power traders in the country, says Fitch.
",http://economictimes.indiatimes.com/markets/stocks/news/discoms-poor-financial-health-poses-risks-for-power-traders-fitch/articleshow/10430186.cms
Cigarette cos shares outperform benchmark Sensex,"Mon, 18 Jul 2011 20:05:28 GMT","Shares of cigarette companies have rallied over the past one month, with ITC, Godfrey Philips and VST Industries hitting record highs. ",http://economictimes.indiatimes.com/markets/stocks/news/cigarette-companies-price-hikes-with-higher-volumes-hold-promise/articleshow/9277179.cms
Lovable Lingerie's dream run on as traders lap it up,"Fri, 17 Jun 2011 18:55:28 GMT","Lovable Lingerie is 3rd-best performing stock among companies listed this year, with it doubling in value, as traders bet it could repeat performance of Page Indus.",http://economictimes.indiatimes.com/markets/stocks/news/lovable-lingeries-dream-run-on-as-traders-lap-it-up/articleshow/8894615.cms
